run_id,training_regime,task_id,graph_id,size_stratum,m,dilution_score,objective,alpha,shots_per_evaluation,seed,nfev_budget,actual_nfev,scipy_reported_nfev,nit,termination_reason,optimizer_status,optimizer_success,wall_time_s,total_sampled_bitstrings,sampled_objective_terminal,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,terminal_parameters
a3train-b36a388e0c149413abe1,SHOT_1000,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,3.010299956639812,O3,0.1,1000,7303,240,47,47,23,EARLY_CONVERGENCE,0,True,0.11630374379456043,47000,0.9526690839336734,2.251681195457403,0.011456747123285548,0.011456747123285548,1.0,1.0693612839621978,"[1.829918349216003, 4.159400732676629, -0.0354400299165359, 3.746670455946189, -1.0103971300366024, 0.44147537412780924]"
a3train-b57e52368f178fb97fba,SHOT_1000,task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,S5,19,5.719569917615643,O0,0.1,1000,7305,240,46,46,21,EARLY_CONVERGENCE,0,True,57.37598839122802,46000,1.5969036537016303,1.6390923541005156,0.00023963560939255555,0.00023963560939255555,1.0,2.0991212714564638,"[4.267775920941651, 6.694376707880534, 0.0, 0.5974769423783285, -1.061324762688063, 0.0]"
a3train-b951b1bb1dc26e490765,SHOT_10000,task-v2-8ea177161d6a,g-4a80ed839b63ddd7,S5,19,4.640388671568018,O0,0.1,10000,7301,240,54,54,27,EARLY_CONVERGENCE,0,True,74.60418186429888,540000,1.5269879170675809,1.5511575131977975,0.006801038573356751,0.00173214597970297,0.2546884510387425,2.472963909603211,"[4.0972340179286695, 4.101591721507828, 0.4934871705804723, 3.3879730785996465, -0.8942957474864051, -0.07471262483698168]"
a3train-b9cdb1d0074707073074,SHOT_10000,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,4.816479930623699,O3,0.1,10000,7305,240,51,51,24,EARLY_CONVERGENCE,0,True,2.3188132755458355,510000,1.0291805385556916,1.5194265999004344,0.0018965113884276067,0.0018965113884276067,1.0,2.0944353855804714,"[2.574261443816801, 5.1078739391088925, 0.471569657484817, 3.2249468360712963, -0.7600433770923807, -0.0033008402212124895]"
a3train-bb4ead920fad4c37ebb5,SHOT_10000,task-v2-6dd269836f23,g-c45ecbe0242c6377,S1,7,2.1072099696478683,O3,0.1,10000,7305,240,50,50,25,EARLY_CONVERGENCE,0,True,0.13575139828026295,500000,0.1265027417362778,1.7759646489952365,0.09172557153584482,0.09172557153584482,1.0,1.0697003961438867,"[5.528662448970766, 4.370838900876742, -0.0009716483402381231, 2.6553015028710427, 0.16017350677851463, 0.057803079933976466]"
a3train-bb7a09c7dac686a65ace,SHOT_10000,task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,S5,19,5.719569917615643,O3,0.1,10000,7302,240,48,48,23,EARLY_CONVERGENCE,0,True,72.67474721651524,480000,1.036180609878354,1.683144769290524,0.0003892229655300155,0.0003892229655300155,1.0,2.3097683748766773,"[3.7053017887653685, 6.194400440196153, 3.2043036666130186e-05, 0.5979288458378643, -1.054506044647513, -0.02416169541697744]"
a3train-bc0ea7ef40de52ffcabd,SHOT_10000,task-v2-07632e755d52,g-a529fbde22ed09f4,S1,7,1.630088714928206,O0,0.1,10000,7304,240,52,52,26,EARLY_CONVERGENCE,0,True,0.12217895034700632,520000,1.2060295679622894,1.2194819569183308,0.2500382477959042,0.09656183138702058,0.3861882421518166,1.0280951617449725,"[2.182439481360971, 4.259261534883953, 0.4875750299111237, 3.1748026926744486, -0.49957700491234597, -0.09086772837976469]"
a3train-bc8eaedb29452f3c87ba,SHOT_10000,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,3.0682919036174985,O3,0.1,10000,7303,240,52,52,25,EARLY_CONVERGENCE,0,True,0.3610780844464898,520000,0.15962645348837207,1.355249532717604,0.08717907503480854,0.01335629175092838,0.1532052473095812,2.0087041604830405,"[6.024354037466553, 4.736838609253981, 0.4881704405241734, 2.5288608820684417, 0.13838086468060945, 7.703385119978362e-05]"
a3train-c0a4389cd76cfe87cc04,SHOT_1000,task-v2-693f08fcb4be,g-8c950d2bd101a5de,S2,10,2.4082399653118496,O3,0.1,1000,7302,240,47,47,24,EARLY_CONVERGENCE,0,True,0.11298373062163591,47000,0.0984883720930232,1.4571508418529713,0.1521864331413721,0.040695740853539164,0.2674071532758459,1.5906159037223786,"[6.579980873619295, 4.410744329114116, -0.034811533165779195, 2.655258121777631, 0.14395396806907768, 0.04104014104195012]"
a3train-c0ed4db787df3cb55073,SHOT_10000,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,3.010299956639812,O3,0.1,10000,7304,240,49,49,23,EARLY_CONVERGENCE,0,True,0.1584674222394824,490000,1.1094209482056523,1.7768749725149209,0.0009009837233257973,0.0009009837233257973,1.0,-0.03498309803444441,"[2.389711988245503, 4.121138451289426, 0.5024641405231678, 3.7643856969330725, -1.0334517535414582, 0.00023908893193692307]"
