task_id,base_graph_id,size_stratum,stress_level,raw_normalized_argmin_identical,normalized_ground_state_exact_original_optimal,flow_classification_unchanged,resource_classification_unchanged,feasible_state_fraction,dilution_score,raw_energy_span,normalized_energy_span
task-v2-5ae92cb9d249,g-4a80ed839b63ddd7,S5,D1,True,True,True,True,1.9073486328125e-06,5.719569917615643,693.9713707168496,4.0347172716095905
task-v2-dcffea5b9a3e,g-4a80ed839b63ddd7,S5,D2,True,True,True,True,3.814697265625e-06,5.418539921951662,688.3847965447953,4.002237189213926
task-v2-004cf44adcd0,g-4a80ed839b63ddd7,S5,D3,True,True,True,True,5.7220458984375e-06,5.24244866289598,682.1560602488029,3.966023606097691
task-v2-676c7042f456,g-4a80ed839b63ddd7,S5,D4,True,True,True,True,7.62939453125e-06,5.11750992628768,684.2812119798396,3.978379139417672
task-v2-d5cf4ef0cd21,g-4a80ed839b63ddd7,S5,D5,True,True,True,True,1.1444091796875e-05,4.941418667231999,673.9463867664174,3.91829294631638
task-v2-6bb369c86974,g-4a80ed839b63ddd7,S5,D6,True,True,True,True,1.52587890625e-05,4.816479930623699,672.0343915253823,3.9071766949150133
task-v2-8ea177161d6a,g-4a80ed839b63ddd7,S5,D7,True,True,True,True,2.288818359375e-05,4.640388671568018,644.1166199368712,3.744864069400414
task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,S5,D1,True,True,True,True,1.9073486328125e-06,5.719569917615643,685.7883334888104,3.9871414737721533
task-v2-8ac52cd83f67,g-b9a8415aa1799cc5,S5,D2,True,True,True,True,3.814697265625e-06,5.418539921951662,678.6916948706898,3.945881946922615
task-v2-e0ae4ea7992e,g-b9a8415aa1799cc5,S5,D3,True,True,True,True,5.7220458984375e-06,5.24244866289598,664.6206884451844,3.864073770030142
task-v2-f09582cc278a,g-b9a8415aa1799cc5,S5,D4,True,True,True,True,7.62939453125e-06,5.11750992628768,665.7657730312568,3.8707312385538186
task-v2-d6122c14c280,g-b9a8415aa1799cc5,S5,D5,True,True,True,True,1.1444091796875e-05,4.941418667231999,642.0805134237567,3.7330262408357946
task-v2-0ec069828687,g-b9a8415aa1799cc5,S5,D6,True,True,True,True,1.52587890625e-05,4.816479930623699,632.5556346852866,3.677649038867945
task-v2-66ecfca58e61,g-b9a8415aa1799cc5,S5,D7,True,True,True,True,1.9073486328125e-05,4.719569917615643,626.5682150872324,3.6428384598094903
task-v2-0b36d078e255,g-ad76642cd3b9f76c,S5,D1,True,True,True,True,1.9073486328125e-06,5.719569917615643,659.6142687260427,3.834966678639783
task-v2-f27d61c02d71,g-ad76642cd3b9f76c,S5,D2,True,True,True,True,3.814697265625e-06,5.418539921951662,655.9783837546025,3.8138278125267586
task-v2-6ee4e9bb2f23,g-ad76642cd3b9f76c,S5,D3,True,True,True,True,5.7220458984375e-06,5.24244866289598,646.2337318377683,3.757172859521909
task-v2-a11d89c8c060,g-ad76642cd3b9f76c,S5,D4,True,True,True,True,7.62939453125e-06,5.11750992628768,645.1240513808882,3.750721228958652
task-v2-01f33dead804,g-ad76642cd3b9f76c,S5,D5,True,True,True,True,1.1444091796875e-05,4.941418667231999,636.4517075571262,3.7003006253321287
task-v2-2bbd08239dbd,g-ad76642cd3b9f76c,S5,D6,True,True,True,True,1.52587890625e-05,4.816479930623699,630.9339676555951,3.6682207421836925
task-v2-110f51ef504a,g-ad76642cd3b9f76c,S5,D7,True,True,True,True,2.288818359375e-05,4.640388671568018,605.7379350382646,3.5217321804550266
