task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,optimizer_seed,feasible_state_fraction,dilution_score,p2_parameters,p2_embedded_p3_parameters,embedded_p2_objective,original_p3_objective,p3_optimization_gap_vs_embedded_p2,original_p3_worse_than_embedded_p2,comparison_tolerance,embedded_p2_p_feas,original_p3_p_feas,embedded_p2_p_opt,original_p3_p_opt,embedded_p2_G_feas,original_p3_G_feas
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,7,2207,0.0078125,2.1072099696478683,"[3.2617673516882473, 5.94505017619575, 2.3753965412699434, -0.40746338949101585]","[3.2617673516882473, 5.94505017619575, 0.0, 2.3753965412699434, -0.40746338949101585, 0.0]",1.6874314518651659,1.626826618338895,-0.060604833526270774,False,1e-10,0.01592701380852194,0.0523015211587626,0.01592701380852194,0.0523015211587626,0.3093443262367397,0.8257242898965877
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,7,3301,0.0078125,2.1072099696478683,"[1.307318752691071, 1.2991391804027617, 2.67102286333235, -0.3163059091851462]","[1.307318752691071, 1.2991391804027617, 0.0, 2.67102286333235, -0.3163059091851462, 0.0]",1.4079863839740818,1.74080725528821,0.3328208713141281,True,1e-10,0.10029468560201471,0.0071046297218334,0.10029468560201471,0.0071046297218334,1.1084878909547582,-0.0412485820020806
task-v2-f83834022ee2,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D2,7,1103,0.015625,1.806179973983887,"[1.413635163902173, 4.73105758961043, 2.584346588403444, 0.1602227979409323]","[1.413635163902173, 4.73105758961043, 0.0, 2.584346588403444, 0.1602227979409323, 0.0]",1.5389477825874605,1.5653773961432011,0.026429613555740694,True,1e-10,0.1165600690762756,0.019653529095641,0.05036556219485154,0.0146852274056855,0.8727297701191603,0.0996205200005613
task-v2-f83834022ee2,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D2,7,2207,0.015625,1.806179973983887,"[3.446785770283552, 4.257463579873268, 1.2003831452582399, 1.1523700333710754]","[3.446785770283552, 4.257463579873268, 0.0, 1.2003831452582399, 1.1523700333710754, 0.0]",1.827662903124119,1.563838853115599,-0.26382405000852005,False,1e-10,0.04495293386614056,0.1631932816201947,0.03925373236100662,0.1472291357609023,0.4589380153322296,1.018882249631292
task-v2-f83834022ee2,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D2,7,3301,0.015625,1.806179973983887,"[3.6693799678389927, 4.195975796142059, 1.1770428549108263, 1.1657648504052525]","[3.6693799678389927, 4.195975796142059, 0.0, 1.1770428549108263, 1.1657648504052525, 0.0]",1.8248685186398348,1.3190617115071412,-0.5058068071326935,False,1e-10,0.05610791469346783,0.2568082858807293,0.04736077570664287,0.1368163414472526,0.5552041020003146,1.2157890060529188
task-v2-73f419868dc6,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D3,7,1103,0.0234375,1.630088714928206,"[1.7438488525076061, 4.877360859857171, 3.125380496550806, -0.4764872455989399]","[1.7438488525076061, 4.877360859857171, 0.0, 3.125380496550806, -0.4764872455989399, 0.0]",1.1641840173498599,1.3177432845047,0.15355926715484003,True,1e-10,0.2692989412267526,0.1488099095693424,0.10848461923009349,0.0446035192265474,1.060323360874871,0.8027205676971045
task-v2-73f419868dc6,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D3,7,2207,0.0234375,1.630088714928206,"[3.5453770475857507, 3.4895461137174135, 1.9042726016470402, 0.5662903258296381]","[3.5453770475857507, 3.4895461137174135, 0.0, 1.9042726016470402, 0.5662903258296381, 0.0]",1.6916894781543335,1.4488393896334535,-0.24285008852087997,False,1e-10,0.0148914964532499,0.1683437761720976,0.0049619827868113585,0.0635915667606933,-0.19697294267668167,0.8562857796732255
task-v2-73f419868dc6,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D3,7,3301,0.0234375,1.630088714928206,"[3.2011129338142457, 3.180561205852778, 1.8769222911534662, 0.5378481181089453]","[3.2011129338142457, 3.180561205852778, 0.0, 1.8769222911534662, 0.5378481181089453, 0.0]",1.6858682581219162,1.3251717992960712,-0.360696458825845,False,1e-10,0.015853135879067122,0.1839235935239739,0.0059285552609935205,0.0840942694206591,-0.16979610304364273,0.894726158576479
task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,10,1103,0.0009765625,3.010299956639812,"[2.0768976884211376, 4.188858657666209, 2.386172634502439, 0.10584506695084335]","[2.0768976884211376, 4.188858657666209, 0.0, 2.386172634502439, 0.10584506695084335, 0.0]",1.93726317638217,1.7348423196756952,-0.2024208567064747,False,1e-10,0.0064054210845946955,0.0004633833497598,0.0064054210845946955,0.0004633833497598,0.8168476416502248,-0.323759618647958
task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,10,2207,0.0009765625,3.010299956639812,"[4.784719897843099, 3.929300037215576, 2.515327043692428, 0.14820513845737432]","[4.784719897843099, 3.929300037215576, 0.0, 2.515327043692428, 0.14820513845737432, 0.0]",1.8763979305029186,1.7611338958773326,-0.11526403462558599,False,1e-10,0.015539977146529252,0.0001684157655081,0.015539977146529252,0.0001684157655081,1.201750332421082,-0.7633172997078159
