task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,feasible_state_fraction,dilution_score,in_phase1_pilot,max_feasible_energy,min_infeasible_energy,feasible_infeasible_energy_gap,complete_energy_separation
task-v2-89b7591232ff,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D5,19,1.1444091796875e-05,4.941418667231999,True,0.0872093023255814,1.0416666666666667,0.9544573643410853,True
task-v2-5f165c277bb9,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D6,19,1.52587890625e-05,4.816479930623699,True,0.13953488372093023,1.0416666666666667,0.9021317829457365,True
task-v2-780e1209d403,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D7,19,2.288818359375e-05,4.640388671568018,True,0.13953488372093023,1.0416666666666667,0.9021317829457365,True
task-v2-5ae92cb9d249,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D1,19,1.9073486328125e-06,5.719569917615643,False,0.05813953488372093,1.0313656787223382,0.9732261438386173,True
task-v2-dcffea5b9a3e,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D2,19,3.814697265625e-06,5.418539921951662,False,0.11627906976744186,1.029969479970809,0.9136904102033672,True
task-v2-004cf44adcd0,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D3,19,5.7220458984375e-06,5.24244866289598,False,0.13372093023255813,1.0291616038930795,0.8954406736605214,True
task-v2-676c7042f456,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D4,19,7.62939453125e-06,5.11750992628768,False,0.13372093023255813,1.0454545454545454,0.9117336152219873,True
task-v2-d5cf4ef0cd21,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D5,19,1.1444091796875e-05,4.941418667231999,False,0.13372093023255813,1.0454545454545454,0.9117336152219873,True
task-v2-6bb369c86974,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D6,19,1.52587890625e-05,4.816479930623699,False,0.13372093023255813,1.0454545454545454,0.9117336152219873,True
task-v2-8ea177161d6a,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D7,19,2.288818359375e-05,4.640388671568018,False,0.13372093023255813,1.0454545454545454,0.9117336152219873,True
task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D1,19,1.9073486328125e-06,5.719569917615643,False,0.06976744186046512,1.0333333333333334,0.9635658914728683,True
task-v2-8ac52cd83f67,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D2,19,3.814697265625e-06,5.418539921951662,False,0.1569767441860465,1.0333333333333334,0.8763565891472869,True
