split,task_id,graph_id,size_stratum,m,alpha,seed_count,optimized_objective,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,tail_feasible_fraction,fully_feasible_tail_fraction,median_nfev,median_wall_time_s
discovery,task-v2-ac528a9510be,g-a712031e7959d564,S3,13,0.02,3,0.046511627906976744,1.580217920015441,0.07140243706877966,0.020010720701941077,0.28025262894970093,2.165042987433754,1.0,1.0,120.0,0.6207100600004196
discovery,task-v2-ac528a9510be,g-a712031e7959d564,S3,13,0.05,3,0.05493842899630818,1.5669182486752034,0.07589112529723951,0.021611839511891072,0.2758916663167184,2.191520944802889,1.0,1.0,120.0,0.6323982169851661
discovery,task-v2-ac528a9510be,g-a712031e7959d564,S3,13,0.1,3,0.3210075583008881,1.4713677961429037,0.07340302514497024,0.018371479992991723,0.2523578084451253,2.17704391108491,0.7340302514497024,0.0,120.0,0.6311797816306353
discovery,task-v2-ac528a9510be,g-a712031e7959d564,S3,13,0.25,3,0.758137943502255,1.5033170279245471,0.08125206829754032,0.02142689433078711,0.26370890956674575,2.2211643772011787,0.3250082731901613,0.0,120.0,0.6413731416687369
discovery,task-v2-ac528a9510be,g-a712031e7959d564,S3,13,0.5,3,0.964622884987627,1.4267356836671856,0.07166868840343815,0.018591701514803695,0.24485358033355525,2.1666594088960975,0.1433373768068763,0.0,120.0,0.6360153472051024
discovery,task-v2-ac528a9510be,g-a712031e7959d564,S3,13,1.0,3,1.4036809813481723,1.4036809813481748,0.053044552981957434,0.01204703590408561,0.22711164911095183,2.0359707461710497,0.053044552981957434,0.0,120.0,0.6289252238348126
discovery,task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,S4,16,0.02,3,0.0687751555115152,1.5865322279488103,0.023274215549814816,0.0069688645097648275,0.29942424890106667,2.2291124733241996,1.0,0.6666666666666666,120.0,5.119132157415152
discovery,task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,S4,16,0.05,3,0.8799947034578917,1.970624920389951,0.01011710905960877,0.0029757178746221374,0.29412729042353614,1.8672938527767688,0.2023421811921754,0.0,120.0,5.263412240892649
discovery,task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,S4,16,0.1,3,1.0069482359533781,1.9579153999871142,0.010339570480362653,0.003009015066288842,0.2910193486280392,1.8767399191412502,0.10339570480362653,0.0,120.0,5.03869457077235
discovery,task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,S4,16,0.25,3,1.0882389200312161,1.8599620415521425,0.01121112005224792,0.003314009397562572,0.2956002060559584,1.911886424342351,0.04484448020899168,0.0,120.0,5.281503200531006
discovery,task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,S4,16,0.5,3,1.2131590155264071,1.8800325510659204,0.006028274590250332,0.0016619198913669611,0.2756874900912481,1.6424304475599565,0.012056549180500665,0.0,120.0,5.2568034222349524
