run_id,split,result_label,task_id,graph_id,size_stratum,m,dilution_score,alpha,seed,optimizer,depth,nfev_budget,actual_nfev,scipy_reported_nfev,nit,termination_reason,wall_time_s,optimized_objective,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,tail_feasible_fraction,tail_fully_feasible,alpha1_minus_mean_endpoint_error
a2-d564d649d39bb5021119,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-f83834022ee2,g-553bb3c5ba0f2136,S1,7,1.806179973983887,0.1,1103,COBYLA,3,120,120,120,91,EVALUATION_BUDGET_EXHAUSTED,0.22574942465871572,0.05631534764593313,1.5929163113072193,0.12332761602003182,0.05784400512248754,0.4690271894422419,0.89724031045145,1.0,True,-1.5366009636612863
a2-d597e6da5d9e34a179c5,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,3.010299956639812,0.5,3301,COBYLA,3,120,120,120,86,EVALUATION_BUDGET_EXHAUSTED,0.3065116833895445,1.2747386754620584,1.9731238945871343,0.008597005446748218,0.008597005446748218,1.0,0.9446471585312542,0.017194010893496436,False,-0.6983852191250759
a2-d5a9207e3af6b4751271,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-69173fedcdae,g-8a16a856f5377a40,S3,13,3.0682919036174985,0.5,1103,COBYLA,3,120,120,120,89,EVALUATION_BUDGET_EXHAUSTED,0.6940212743356824,1.0759298480961117,1.5493192706862304,0.030892581108587485,0.010548747068851318,0.34146538393060943,1.5581460992089031,0.061785162217174956,False,-0.47338942259011874
a2-d625705d2b601115eb25,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,S4,16,4.038328680240055,0.1,1103,COBYLA,3,120,120,120,92,EVALUATION_BUDGET_EXHAUSTED,5.3686762182042,1.0363907588587924,1.9802797704871238,0.008155795422375055,0.002623885517684909,0.32172036960201306,1.9497950037649991,0.08155795422375053,False,-0.9438890116283314
a2-d62c161007e9f02ea339,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-5f165c277bb9,g-e0c69f84d376b633,S5,19,4.816479930623699,0.02,3301,COBYLA,3,120,120,120,91,EVALUATION_BUDGET_EXHAUSTED,129.15563490614295,0.06026939518138177,1.4815941103371513,0.028060201031139872,0.005506838248337429,0.19625084803299173,3.2645707087345004,1.0,True,-1.4213247151557695
a2-d656646a96321d16b65f,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-f83834022ee2,g-553bb3c5ba0f2136,S1,7,1.806179973983887,0.1,3301,COBYLA,3,120,63,63,46,EARLY_CONVERGENCE,0.12445717677474022,0.046511627906976744,1.75788764345986,0.15271873091117105,0.10086636408496193,0.6604714659633396,0.9900722804082253,1.0,True,-1.7113760155528832
a2-d697a68d6b1fc6d3d57a,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-a2561503b5d0,g-bd62d2d752385cc7,S4,16,4.515449934959718,1.0,2207,COBYLA,3,120,120,120,84,EVALUATION_BUDGET_EXHAUSTED,5.280032753013074,1.6047168556574574,1.6047168556574434,0.006641543022951807,0.002374319845640995,0.3574952142048668,2.337718925246787,0.006641543022951807,False,1.3988810110276972e-14
a2-d6a85147439ae9d518d8,heldout,POST_HOC_SENSITIVITY,task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,S5,19,5.719569917615643,1.0,1103,COBYLA,3,120,120,120,93,EVALUATION_BUDGET_EXHAUSTED,133.76625503133982,1.534030197215693,1.534030197215698,0.0005731400359330433,0.0005731400359330433,1.0,2.4778306641950083,0.0005731400359330433,False,-5.10702591327572e-15
a2-d714a447ad6598b53499,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-8f4071cbe937,g-8a16a856f5377a40,S3,13,3.612359947967774,0.5,3301,COBYLA,3,120,120,120,92,EVALUATION_BUDGET_EXHAUSTED,0.6263115527108312,1.109130535569867,1.6261236809104358,0.019644700952205316,0.008740934364700593,0.4449512561156771,1.9056053699781301,0.03928940190441063,False,-0.5169931453405687
a2-d71a131ad1facc72c35c,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-89b7591232ff,g-e0c69f84d376b633,S5,19,4.941418667231999,1.0,1103,COBYLA,3,120,120,120,89,EVALUATION_BUDGET_EXHAUSTED,130.1181897027418,1.286220396632401,1.2862203966322796,0.002589747756856762,0.00011624127673676816,0.04488517324863057,2.35467613280358,0.0025897477568567616,False,1.2145839889399213e-13
