task_id,base_graph_id,split,size_m,dilution_score,p_feas,cvar_tail_fully_feasible,cvar_tail_feasible_mass,cvar_cutoff_energy
task-p3-d68e836641aa0696,g-3973175f1911b646,development,18,4.339358675904037,0.0278155679713598,False,0.0278155679713599,1.1229833377413383
task-p3-eac9ec0e8d9747fc,g-3973175f1911b646,development,18,4.816479930623699,0.0304849903104984,False,0.0304849903104985,1.0706418753256397
task-p3-430990bd4bb51ff0,g-595b062626366822,development,18,4.941418667231999,0.02585000727324,False,0.0258500072732401,1.111823318986601
task-p3-570d4439775bbe3c,g-595b062626366822,development,18,4.816479930623699,0.0308328793626361,False,0.030832879362636,1.1102882835228771
task-p3-65c7a1b65ff60e55,g-595b062626366822,development,18,5.11750992628768,0.0173605213234089,False,0.0173605213234088,1.107907960856916
task-p3-b7c9af0733f91182,g-595b062626366822,development,18,4.573441881937405,0.0276946745180019,False,0.0276946745180018,1.0978577096006348
task-p3-ba6b71f64afcb032,g-595b062626366822,development,18,4.377147236793436,0.0326999202092434,False,0.0326999202092435,1.173234594022745
task-p3-ff25d52b46ff8fca,g-595b062626366822,development,18,5.418539921951662,0.0005009440611086,False,0.0005009440611086,1.0626818302036498
task-p3-1bebe0fdf35e1111,g-0510569b7dbe24ff,development,18,4.816479930623699,0.0293698487436689,False,0.0293698487436689,1.03125
task-p3-29e2fa41ead6bf52,g-0510569b7dbe24ff,development,18,4.573441881937405,0.0653445242115636,False,0.0653445242115637,1.051350502512563
task-p3-37baef352149cb65,g-0510569b7dbe24ff,development,18,5.418539921951662,0.0082878755853653,False,0.0082878755853653,1.04020818182039
task-p3-c3838972a3aa5aca,g-0510569b7dbe24ff,development,18,4.941418667231999,0.0533676623110703,False,0.0533676623110702,1.051350502512563
task-p3-e583c66df4316206,g-0510569b7dbe24ff,development,18,4.377147236793436,0.0701283113427797,False,0.0701283113427798,1.0915515075376885
task-p3-fa9bbbbc60ce0e0a,g-0510569b7dbe24ff,development,18,5.11750992628768,0.0198054979324859,False,0.0198054979324859,1.0413002512562817
task-p3-3ab446ca7d78a781,g-3e6704b429f1ca32,extrapolation_holdout,20,5.418539921951662,0.0474293717124465,False,0.0474293717124467,1.0486719310839911
task-p3-9d3698769d5819aa,g-3e6704b429f1ca32,extrapolation_holdout,20,4.941418667231999,0.0461319748974428,False,0.0461319748974427,1.03862167982771
task-p3-a7855c2ee4b44f07,g-3e6704b429f1ca32,extrapolation_holdout,20,5.175501873265367,0.0386395329977101,False,0.0386395329977101,1.03862167982771
