base_graph_id,split,size_m,objective,n_levels,eta,eta_se,kappa,eta_kappa_identity_error,intercept,R2,RMSE,D_min,D_max,P_feas_min,P_feas_max,optimizer_adequacy_flag,resource_censored
g-595b062626366822,development,18,O0,6,1.3761715729978028,0.21438017026526135,-0.3761715729978021,7.216449660063518e-16,4.060984069148948,0.9115190459510907,0.14654077228159285,4.377147236793436,5.418539921951662,0.000405842195363,0.0179397163213982,False,False
g-595b062626366822,development,18,O2,6,0.87021613138043,0.15970051301119256,0.12978386861957053,4.996003610813204e-16,2.464199503913795,0.8812779809650844,0.10916418473532177,4.377147236793436,5.418539921951662,0.0048968985881595,0.0474562127602451,False,False
g-595b062626366822,development,18,O3,6,1.4819993963802276,0.5888987750078156,-0.4819993963802281,4.996003610813204e-16,5.356359454170698,0.6128936139343575,0.4025450729820284,4.377147236793436,5.418539921951662,0.0005009440611086,0.0326999202092434,False,False
g-63a93cc8703f978f,development,12,O0,6,1.1384100263092058,0.07192055893490244,-0.13841002630920543,4.163336342344337e-16,2.337634267756312,0.9842858848180441,0.03778824097801142,2.8342086975841307,3.612359947967774,0.0161541726678456,0.1124184745330031,False,False
g-63a93cc8703f978f,development,12,O2,6,0.7264106057889504,0.09542692747510152,0.27358939421104916,3.885780586188048e-16,1.1568451244502351,0.935427492701107,0.05013887245348404,2.8342086975841307,3.612359947967774,0.0378988070352301,0.1545629157553283,False,False
g-63a93cc8703f978f,development,12,O3,6,0.674147035401875,0.07129378794433898,0.325852964598125,5.551115123125783e-17,1.0016106130336435,0.9571798994000208,0.03745892522212475,2.8342086975841307,3.612359947967774,0.0399411454248824,0.1356392711520708,False,False
g-6561c85f253791c6,development,18,O0,6,1.4183885312443647,0.15885157055903332,-0.4183885312443642,4.996003610813204e-16,4.823202304919649,0.9522258925654956,0.10858388534285411,4.377147236793436,5.418539921951662,0.0011828914807498,0.0514880670908615,False,False
g-6561c85f253791c6,development,18,O2,6,0.6616380043645953,0.23108229369605082,0.33836199563540537,6.661338147750939e-16,1.7612636030469817,0.6720772034130067,0.15795760278071005,4.377147236793436,5.418539921951662,0.0097195547675328,0.0595175907991942,False,False
g-6561c85f253791c6,development,18,O3,6,0.7294607569477869,0.21961688616563516,0.2705392430522127,3.885780586188048e-16,2.069280197913813,0.733909174244231,0.15012035891645067,4.377147236793436,5.418539921951662,0.0098306375287698,0.0856145737381167,False,False
g-65a5f4b07fa94104,extrapolation_holdout,20,O0,6,0.8067125332306423,0.204336075025315,0.19328746676935787,1.6653345369377348e-16,2.1532155033672336,0.7957772963874645,0.13967507443502125,4.979207228121399,6.020599913279624,0.0013760034403026,0.0121568851300688,False,False
g-65a5f4b07fa94104,extrapolation_holdout,20,O2,6,0.3461878234987078,0.12278379453103318,0.6538121765012926,4.440892098500626e-16,-0.06292439039653992,0.6652588125082493,0.08392955398801576,4.979207228121399,6.020599913279624,0.0056762356851306,0.0151904752345292,False,False
g-65a5f4b07fa94104,extrapolation_holdout,20,O3,6,1.2056094737422154,0.40656635702606786,-0.20560947374221528,1.1102230246251565e-16,4.466050938919483,0.6873356162638802,0.2779107221931132,4.979207228121399,6.020599913279624,0.0011711202117683,0.0191790056450965,False,False
g-8e75832e853cc6ea,development,14,O0,6,-0.6151869873331419,0.38125811421681194,1.6151869873331406,1.3322676295501878e-15,-3.8620333723722635,0.3942707970957501,0.2107303091052042,3.36932189928148,4.214419939295737,0.0075086481452015,0.050632099068846,False,False
g-8e75832e853cc6ea,development,14,O2,6,-0.14324416052678818,0.1886807980849142,1.1432441605267876,6.661338147750939e-16,-1.9706609553843086,0.12594405797178254,0.10428830605829321,3.36932189928148,4.214419939295737,0.0258836549052487,0.0515522893324219,False,False
