task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,feasible_state_fraction,capacity_gap_mean,capacity_gap_penalty,capacity_gap_cvar,capacity_gap_p_feas_mean,capacity_gap_p_feas_penalty,capacity_gap_p_feas_cvar,capacity_gap_p_opt_mean,capacity_gap_p_opt_penalty,capacity_gap_p_opt_cvar,penalty_gap_closure_fraction,cvar_gap_closure_fraction,O2_base_kappa,tag_OBJECTIVE_LIMITED,tag_CAPACITY_LIMITED,tag_PENALTY_SURROGATE_SUCCESS,tag_CVAR_PARTIAL_ALIGNMENT,mechanistic_tags
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D7,3.8622374211843744,0.0001373291015625,0.07722090459316133,0.06523757171749489,-0.027823198801534943,0.0071874027121435966,0.0061540757612343,-0.0029192313945181,0.002102887038109201,0.0014272580863312016,-0.0023446469276429995,0.15518249803988546,1.3603065639818852,0.07030518097922192,False,False,False,False,NONE
task-v2-b9b3757d64c0,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D4,5.11750992628768,7.62939453125e-06,0.777715540029952,0.7594936710337894,0.02181052171930231,0.030567985073660698,0.0303057014882379,0.0017970384660886962,0.012434105007539302,0.012172502580648201,0.0007277762009444012,0.02342999214784991,0.9719556565393276,1.042148760780945,True,False,False,False,OBJECTIVE_LIMITED
task-v2-c5ed7c8b71f4,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D6,3.135238693248112,0.000732421875,0.12930721018251612,0.06366005625104965,0.07118702984722125,0.033734633060176114,0.01786198005917232,0.019806024344885514,-0.0011351644307389993,-0.005568008709884701,-0.004219166515578401,0.5076836306251293,0.4494736237311028,0.13945155544105142,True,False,True,False,OBJECTIVE_LIMITED;PENALTY_SURROGATE_SUCCESS
task-v2-c95d7e1ff6e7,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D6,4.816479930623699,1.52587890625e-05,0.33846830740688594,0.5516835507452669,-0.03675655029477509,0.0085280787151502,0.011331746225493298,-0.0013914704783135022,0.0031886891106301996,0.0041289812808432,-0.0008475589969227006,-0.6299415297458458,1.1085967267552428,1.042148760780945,True,False,False,False,OBJECTIVE_LIMITED
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,1.630088714928206,0.0234375,0.02647493904920073,0.02487365215435,0.08445737935414788,0.01870638597145763,0.017607075800500138,0.05590082209760461,0.002522401061899396,0.0026347441600945987,0.01640424494946209,0.06048311921983711,-2.1900877730896084,0.23758971999383838,False,False,False,False,NONE
task-v2-cf1a83d8dbf9,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D6,4.038328680240055,9.1552734375e-05,0.14044904181061613,0.3153503749902562,-0.04716638713859833,0.010930365076918799,0.0204205323048902,-0.0045381489795282975,0.004227588556499198,0.0072808253383495995,-0.0010857571925350015,-1.2453010068625459,1.3358256242303048,0.5641472514923005,True,False,False,False,OBJECTIVE_LIMITED
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,1.806179973983887,0.015625,-0.032842204943446474,-0.04134832612943584,0.09600094306130025,-0.014951318022190407,-0.019011601583847404,0.037746915586586494,-0.007394168543502708,-0.008460060535884897,0.010289973709373401,,,0.23758971999383838,False,False,False,False,NONE
task-v2-e243a3cd3e64,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D7,3.9133899436317554,0.0001220703125,0.32969110059485107,0.06339702241672684,-0.18430555171943785,0.0152341143031895,0.0038898479116057996,-0.0151398659041815,0.0045418021078533,0.0015144801026062,-0.002414414265869599,0.8077078140649182,1.559024952104868,0.5641472514923005,True,False,True,False,OBJECTIVE_LIMITED;PENALTY_SURROGATE_SUCCESS
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,2.1072099696478683,0.0078125,0.123687750955086,0.12330356549420274,0.12027817480530989,0.032858563321788894,0.032770307318500905,0.0320725724145403,0.032858563321788894,0.032770307318500905,0.0320725724145403,0.003106091410965701,0.027565996822225387,0.23758971999383838,True,False,False,False,OBJECTIVE_LIMITED
task-v2-e449b07a1126,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D2,5.418539921951662,3.814697265625e-06,0.43786761809777097,0.3901937976262335,0.08866221440561706,0.0071785973046303,0.006700125206697701,0.0020871359193563015,0.0034308385970396003,0.0031589361056516005,0.0007746529882589007,0.10887724622945838,0.7975136531201086,0.28567612216689037,True,False,False,False,OBJECTIVE_LIMITED
task-v2-eb1005d46905,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D4,3.311329952303793,0.00048828125,0.24807377497668526,0.2973742599710114,0.10612952342543558,0.042647721329158596,0.048588233680291595,0.021247855801780596,0.023778730602521097,0.0253332745694378,0.016949958706601397,-0.19873315911349182,0.5721856393913062,-0.10168452836737932,True,True,False,True,OBJECTIVE_LIMITED;CAPACITY_LIMITED;CVAR_PARTIAL_ALIGNMENT
task-v2-ef23e17da545,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D3,3.436268688912093,0.0003662109375,0.12349410703947084,0.10362289055525098,-0.01052199942313825,0.0119284356122362,0.0102304814709884,-0.0011819306980842964,0.0029669444270856993,0.0023477057441516,0.00012844156551140157,0.16090821627519986,1.0852024414393737,0.13945155544105142,True,False,False,False,OBJECTIVE_LIMITED
task-v2-f0ef0f25a74e,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D6,3.135238693248112,0.000732421875,0.10437567036702289,0.15041658748032471,0.05728317354976031,0.024584901302737494,0.033687460480443604,0.014220424985113195,0.007317401739919502,0.009230517733906096,0.0030145121652652984,-0.4411077500283848,0.4511827004479894,-0.10168452836737932,True,True,False,False,OBJECTIVE_LIMITED;CAPACITY_LIMITED
task-v2-f1a738d52e35,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D2,2.709269960975831,0.001953125,0.19091090021755197,0.26753125767290054,-0.0026457165183773057,0.0391790579584904,0.05065725709175631,-0.0006730609679376914,0.021290125513660302,0.0286901076956498,-0.0013684712177085973,-0.40134092588760545,1.0138583837557855,0.1130294833144868,True,False,False,False,OBJECTIVE_LIMITED
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D4,2.4082399653118496,0.00390625,1.048477816228132,0.7784773637822732,0.2587071752111103,0.1372599182139733,0.1256371774876748,0.0676561364814392,0.0789127672583232,0.0721634782573209,0.0375038949163796,0.2575166095713666,0.7532545074326877,0.10518404367317832,True,False,False,True,OBJECTIVE_LIMITED;CVAR_PARTIAL_ALIGNMENT
task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D7,4.719569917615643,1.9073486328125e-05,0.20543439113488082,0.24909048922139743,-0.09266137768368843,0.006410292315380102,0.007423843502962902,-0.0040451373099206975,0.0017261214454960005,0.0020785483869558002,-0.0015878036251452997,-0.21250627923273852,1.451050951945287,1.042148760780945,True,False,False,False,OBJECTIVE_LIMITED
task-v2-f6d986d24578,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D3,4.339358675904037,4.57763671875e-05,0.4074541950393651,0.401046108797412,0.24461665429304036,0.019966661904669294,0.019775842251046796,0.014126820098179196,0.0089365853276222,0.0089796630261826,0.0060706295605021,0.015727132816325536,0.39964624914609753,0.5641472514923005,True,False,False,True,OBJECTIVE_LIMITED;CVAR_PARTIAL_ALIGNMENT
task-v2-f83834022ee2,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D2,1.806179973983887,0.015625,0.06369638048429038,0.057831288299207695,0.04062315855767851,0.018411896784667106,0.01682716017507911,0.012052113287805005,0.010780387855529101,0.009787508236572803,0.0031149415817048054,0.09207889271713346,0.3622375675224197,0.30764811827476707,False,False,False,False,NONE
