task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,dilution_score,minimum_infeasible_total_penalty,maximum_total_penalty,maximum_feasible_total_penalty,penalty_feasibility_classification_match,basis_penalty_contract_pass,max_feasible_energy,min_infeasible_energy,strict_energy_class_separation,random_state_seed,random_state_p_feas,random_state_expected_total_penalty,random_state_lower_bound_margin,random_state_upper_bound_margin,random_state_penalty_bound_pass,random_state_cvar_tail_fully_feasible,random_state_cvar_tail_feasible_mass,random_state_cvar_tail_condition_pass
task-v2-eed472030dc4,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D2,10,2.709269960975831,1.0366120317026157,3.4112422519763967,0.0,True,True,0.14534883720930233,1.125,True,8945117131950802969,0.000939699357484312,2.4074101904753578,1.408349889832842,1.5888310120947051,True,False,0.0009396993574843122,True
task-v2-4507b50770a7,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D3,10,2.533178701920149,1.0136658485066927,3.1676192513961663,0.0,True,True,0.14534883720930233,1.1241309647857625,True,2731548849972653143,0.00388615532754776,2.0781180993375514,1.0820042546650992,1.9063372793522575,True,False,0.00388615532754776,True
task-v2-59e59ed3c03f,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D4,10,2.4082399653118496,1.125,3.072856830214284,0.0,True,True,0.14534883720930233,1.125,True,17808759860575447985,0.0021826001841349424,1.8201934650746554,0.8223760652587904,2.1710761341888047,True,False,0.0021826001841349432,True
task-v2-de1e481a2b9a,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D1,10,3.010299956639812,1.0035355971957145,3.488595088812805,0.0,True,True,0.09302325581395349,1.160512341381761,True,12728384869958133695,0.004313693045843611,2.5249102457853265,1.5292239388311701,1.457834982031299,True,False,0.004313693045843611,True
task-v2-df25fe0d6e36,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D2,10,2.709269960975831,1.0297799597951092,3.409004867495944,0.0,True,True,0.1569767441860465,1.1435176597580108,True,9854173003409360512,0.0017093339994383046,2.4463034515605613,1.4480127855599996,1.5468592124416856,True,False,0.0017093339994383046,True
task-v2-0da346e5ae20,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D3,10,2.533178701920149,1.000604037138681,3.2180574070639034,0.0,True,True,0.1569767441860465,1.1052551999293787,True,10199520126924663536,0.0016176441838089133,2.1044644004515147,1.1060820446353237,1.8890650228132495,True,False,0.0016176441838089133,True
task-v2-693f08fcb4be,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D4,10,2.4082399653118496,1.1666666666666667,3.1957080329327,0.0,True,True,0.1569767441860465,1.1666666666666667,True,6950577634143844039,0.0031331303885066943,2.059698021306893,1.0628311516953999,1.92776945713908,True,False,0.0031331303885066943,True
task-v2-4968f3a685c2,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D1,13,3.9133899436317554,1.0009543990170802,3.4539278616986033,0.0,True,True,0.10465116279069768,1.0530840449119365,True,3944616348953805140,0.00016929331139998107,2.472450244980596,1.4726195382919962,1.5268725817738038,True,False,0.00016929331139998107,True
task-v2-8f4071cbe937,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D2,13,3.612359947967774,1.0000024780533527,3.4024328675986935,0.0,True,True,0.10465116279069768,1.0490293688330037,True,10036920307445823575,0.00018269583719224153,2.431419150505995,1.4316018463431874,1.567850066145236,True,False,0.00018269583719224153,True
task-v2-5de325b6f026,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D3,13,3.436268688912093,1.0023622430781387,3.3998600287051506,0.0,True,True,0.10465116279069768,1.0488738709851155,True,16670508094693450852,0.0002601552896307497,2.4303091926866007,1.4305693479762316,1.5686501861548763,True,False,0.0002601552896307497,True
