task_id,graph_id,optimizer,objective,depth,seed_count,objective_value,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,median_nfev,median_nit,median_wall_time_s
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,SLSQP,O0,3,3,1.5804519267218113,1.5804519267218113,0.001683936489404881,0.0013557132578839173,0.805085741899351,-0.06440433120800701,120.0,16.0,0.11534927040338516
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,SLSQP,O3,2,3,0.6328266647612691,2.0441401142101805,0.049115277556730785,0.02728866517892988,0.5556044175340352,1.400486563619356,120.0,20.0,0.08708951715379953
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,SLSQP,O3,3,3,1.1430348678768034,2.0971073676507013,0.005176624885634708,0.0033040050230006422,0.5585559849820204,0.42331665676678987,120.0,15.0,0.1080497121438384
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,COBYLA,O0,2,3,1.4826812389545612,1.4826812389545612,0.028031606450380244,0.017217718415186947,0.6808578329714144,0.9808266891754022,120.0,95.0,0.255410635843873
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,COBYLA,O0,3,3,1.439017327653732,1.439017327653732,0.005974626107299255,0.005150305091011025,0.8620296899782316,0.30948943419848124,120.0,89.0,0.29517784621566534
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,COBYLA,O3,2,3,0.8134327529818054,1.7022156567684164,0.0316043607346482,0.019115676957662125,0.6048430189162283,1.032925712144046,120.0,95.0,0.2712594987824559
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,COBYLA,O3,3,3,0.6403386201636824,1.716894517586389,0.048046048916903714,0.03898366091437314,0.7226961026141253,1.214836381039396,120.0,91.0,0.30996858701109886
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,Nelder-Mead,O0,2,3,1.2957056964269942,1.2957056964269942,0.053417271046546214,0.03678406319261673,0.6886174166509591,1.2608603991641054,120.0,75.0,0.07459200453013182
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,Nelder-Mead,O0,3,3,1.513866586043725,1.513866586043725,0.004310529657262658,0.0024011304995309756,0.6208746609523307,0.16770933938797414,120.0,73.0,0.10633011255413294
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,Nelder-Mead,O3,2,3,1.1182878516743084,2.1842441432155377,0.011845820762677099,0.008406805997449888,0.7095462127217617,0.6067438590306465,120.0,71.0,0.08310172241181135
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,Nelder-Mead,O3,3,3,0.6407872181447217,1.7725196385590032,0.047991030076283143,0.038876567829467065,0.7213314186895567,1.2143387736205362,120.0,75.0,0.11880841478705406
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,SLSQP,O0,2,3,1.3788011580195005,1.3788011580195005,0.007420407132045805,0.004742900443803353,0.675794318936469,0.40360643608734253,104.0,19.0,0.07378457486629486
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,SLSQP,O0,3,3,1.3971374555327984,1.3971374555327984,0.005400128459489054,0.005338444538723587,0.9267845078497461,0.2655827929623172,120.0,16.0,0.11221018899232149
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,SLSQP,O3,2,3,0.5587746206177829,1.583965099146866,0.05546834192105284,0.037706300326273,0.7039065368250496,1.2772238859114808,120.0,18.0,0.08825318142771721
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,SLSQP,O3,3,3,0.24512670130383904,1.5791863184183073,0.08511631291588473,0.0598417654015298,0.6482903911556126,1.4631915044302466,120.0,15.0,0.11973748542368412
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,COBYLA,O0,2,3,1.8685352843439809,1.8685352843439809,0.0017991423100590647,0.0017991423100590647,1.0,2.0715454475150956,120.0,96.0,3.823228512890637
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,COBYLA,O0,3,3,1.7116157342042615,1.7116157342042615,0.0005210703959594065,0.0005210703959594065,1.0,1.5333763305287267,120.0,91.0,7.1410225154832006
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,COBYLA,O3,2,3,1.0216816260679624,1.9198518628399683,0.004171797198394345,0.004171797198394345,1.0,2.436803118738928,120.0,94.0,5.492569727823138
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,COBYLA,O3,3,3,1.007175945918868,1.9025933440651572,0.004695704083516668,0.004695704083516668,1.0,2.4881806511151434,120.0,85.0,7.3448939034715295
