graph_id,optimizer,objective,depth,n_tasks,objective_value,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas
g-a712031e7959d564,Nelder-Mead,O0,2,7,1.643202581926469,1.643202581926469,0.01700429696259562,0.0062817701179231755,0.3671863289034071,1.5967751270370185
g-a712031e7959d564,Nelder-Mead,O0,3,7,1.3761305352236788,1.3761305352236788,0.004913123123723086,0.0026430905596028812,0.5853383259081008,0.9019330760488403
g-a712031e7959d564,Nelder-Mead,O3,2,7,0.5007206869178352,1.6547095789751125,0.058114484692488755,0.018844350318360414,0.38805237826154365,2.093139583947258
g-a712031e7959d564,Nelder-Mead,O3,3,7,0.5368679389924685,1.7224851706861946,0.05183600236508231,0.022966422958814733,0.5384357929614949,2.0442153491720574
g-a712031e7959d564,SLSQP,O0,2,7,1.3727662051711336,1.3727662051711336,0.032846236066147436,0.011037244282193022,0.44144756933317414,1.6964153200796435
g-a712031e7959d564,SLSQP,O0,3,7,1.2838280931220702,1.2838280931220702,0.006406088975456306,0.0039025762126919518,0.5352377219264464,0.914169830809923
g-a712031e7959d564,SLSQP,O3,2,7,0.5569361581663399,1.6740238288126983,0.05033410375667974,0.02093232741174122,0.4646650560552814,2.0674794168888746
g-a712031e7959d564,SLSQP,O3,3,7,0.4587047375301544,1.7485388723479967,0.060118570218907104,0.02194811378845673,0.44812027259357334,2.1334534296955705
g-a87f1b9ac089cc45,COBYLA,O0,2,7,1.6928404312263297,1.6928404312263297,0.0025193083458333564,0.00137840579629472,0.5523244885997883,2.5142930557070886
g-a87f1b9ac089cc45,COBYLA,O0,3,7,1.4042685900681602,1.4042685900681602,0.003038132737622675,0.0013852156907805744,0.5943721316930825,2.488582931876909
g-a87f1b9ac089cc45,COBYLA,O3,2,7,1.04562824031222,1.8961233968231268,0.002910409465976416,0.0015879084839697814,0.4899174477551277,2.5208443490996726
g-a87f1b9ac089cc45,COBYLA,O3,3,7,0.9538791105732318,1.6007218691767822,0.00989212572833762,0.005141871227799165,0.5708467834354699,3.119031227361377
g-a87f1b9ac089cc45,Nelder-Mead,O0,2,7,1.4884414040893372,1.4884414040893372,0.004639648026429214,0.0028583392969218397,0.5663198008345588,2.7488104306674104
