task_id,graph_id,optimizer,objective,seed,embedded_p2_objective,terminal_p3_objective,signed_nested_regret,embedding_identity_error,embedding_identity_pass,nested_pass,nested_failure,embedded_p2_mean_energy,embedded_p2_P_feas,embedded_p2_G_feas,terminal_p3_mean_energy,terminal_p3_P_feas,terminal_p3_G_feas,actual_nfev,scipy_reported_nfev,nit,termination_reason,wall_time_s
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,COBYLA,O0,2207,1.8685352843439802,1.7116157342042615,-0.1569195501397187,-6.661338147750939e-16,True,True,False,1.8685352843439802,0.0019065194247156981,2.096721165097729,1.7116157342042615,0.00023943874195787577,1.19567435262244,120,120.0,91,EVALUATION_BUDGET_EXHAUSTED,7.1410225154832006
task-v2-5d31ef4af595,g-bd62d2d752385cc7,SLSQP,O0,2207,1.4362875660821814,1.3382631304899264,-0.09802443559225504,-2.220446049250313e-16,True,True,False,1.4362875660821814,0.006101834578239952,1.9998803689653848,1.3382631304899264,0.004233698722614187,1.8411398889258512,120,,16,EVALUATION_BUDGET_EXHAUSTED,6.399082124233246
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,SLSQP,O3,2207,0.46781487507939024,0.023255813953488372,-0.4445590611259019,0.0,True,True,False,2.2703948115252084,0.06369715585109625,0.6103000150201687,1.877039146436522,0.10500671307479194,0.8273970383694863,63,63.0,8,EARLY_CONVERGENCE,0.03153535537421703
task-v2-89b7591232ff,g-e0c69f84d376b633,SLSQP,O0,1103,1.286609311859868,1.1476416406559442,-0.13896767120392384,-4.440892098500626e-15,True,True,False,1.286609311859868,0.0007539977032058975,1.8187886901753487,1.1476416406559442,0.00036137805864110665,1.4993804477193144,120,,16,EVALUATION_BUDGET_EXHAUSTED,133.49241955578327
task-v2-8f4071cbe937,g-8a16a856f5377a40,Nelder-Mead,O3,1103,1.0628340637275522,0.9109359520674418,-0.15189811166011036,0.0,True,True,False,2.2360449546724404,0.006374078607571028,1.4167773630238796,1.7956447165904192,0.016648319169850326,1.8337303412391053,120,120.0,69,EVALUATION_BUDGET_EXHAUSTED,0.41757451370358467
task-v2-a2561503b5d0,g-bd62d2d752385cc7,SLSQP,O0,2207,1.5422268533552863,1.460060465123879,-0.0821663882314072,8.881784197001252e-16,True,True,False,1.5422268533552863,0.004432711898113091,2.1621194404242425,1.460060465123879,0.002945496520068032,1.9846084489384883,120,,16,EVALUATION_BUDGET_EXHAUSTED,5.483010613359511
task-v2-f1a738d52e35,g-60667963f6db3f1b,SLSQP,O3,3301,1.067679721297513,1.1205823323012802,0.05290261100376714,0.0,True,False,True,2.4090925501486096,0.009413376050609764,0.6830153694399722,2.4308238192517235,0.010838132594728484,0.7442244208840406,120,,16,EVALUATION_BUDGET_EXHAUSTED,0.1532301502302289
task-v2-89b7591232ff,g-e0c69f84d376b633,Nelder-Mead,O0,3301,1.5009226388798187,1.5074959507692256,0.006573311889406908,1.1102230246251565e-15,True,False,True,1.5009226388798187,0.030529177659634386,3.4261337734404886,1.5074959507692256,0.00596485644667021,2.717018663407817,120,120.0,71,EVALUATION_BUDGET_EXHAUSTED,128.7407845351845
task-v2-5de325b6f026,g-8a16a856f5377a40,SLSQP,O3,3301,0.6993553037634442,1.8723991484524642,1.17304384468902,0.0,True,False,True,1.9882276751493086,0.038534380857947914,2.022117074366289,2.5575634436975077,0.0009075842195795361,0.3941556249911112,120,,12,EVALUATION_BUDGET_EXHAUSTED,0.4094863198697567
task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,COBYLA,O3,1103,1.1115237919635221,0.9208487364484247,-0.19067505551509745,0.0,True,True,False,2.1554085541884933,0.0007377123473910437,1.5874569700979069,1.273379950369098,0.013026497402223084,2.8343975748190138,120,120.0,94,EVALUATION_BUDGET_EXHAUSTED,120.81909888796508
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,Nelder-Mead,O0,3301,1.4823784506197888,1.2674713114596579,-0.21490713916013093,3.1086244689504383e-15,True,True,False,1.4823784506197888,0.005524743478763564,3.461882035566674,1.2674713114596579,0.0002104388421127626,2.042695821150281,120,120.0,79,EVALUATION_BUDGET_EXHAUSTED,115.82161023281515
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,SLSQP,O0,1103,1.424026039527317,1.2838920221830068,-0.1401340173443102,0.0,True,True,False,1.424026039527317,0.024970224718034683,1.611842390071726,1.2838920221830068,0.010075552851045706,1.2176888247362914,120,,16,EVALUATION_BUDGET_EXHAUSTED,0.4474285440519452
task-v2-f1a738d52e35,g-60667963f6db3f1b,Nelder-Mead,O0,3301,1.9073328340241995,1.7132852454216418,-0.19404758860255766,0.0,True,True,False,1.9073328340241995,0.0037294800654275153,0.2809182511075741,1.7132852454216418,0.004850857258062935,0.39508845618575594,120,120.0,75,EVALUATION_BUDGET_EXHAUSTED,0.11320494767278433
task-v2-ef23e17da545,g-a712031e7959d564,Nelder-Mead,O3,1103,0.8377850832089957,0.8989192271268545,0.06113414391785876,0.0,True,False,True,1.926085153030598,0.024074066926339076,1.8178181524513417,1.8344883355847295,0.01678859859793827,1.6612831345091363,120,120.0,71,EVALUATION_BUDGET_EXHAUSTED,0.4968215525150299
task-v2-69173fedcdae,g-8a16a856f5377a40,COBYLA,O3,3301,0.9046229604385353,0.29883204584760625,-0.605790914590929,0.0,True,True,False,1.9452074835148832,0.021306588675507873,1.3968058255045273,1.6920166084524997,0.07705009431408763,1.9550650782756067,120,120.0,88,EVALUATION_BUDGET_EXHAUSTED,0.7901033693924546
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,COBYLA,O3,1103,0.19423106703420545,0.06976744186046512,-0.12446362517374034,0.0,True,True,False,1.824464510938086,0.0874920244104797,1.049178435100032,2.1285718062803274,0.1005135041545933,1.1094343835022227,83,83.0,60,EARLY_CONVERGENCE,0.16743633337318897
task-v2-526a936f38d9,g-e0c69f84d376b633,SLSQP,O0,3301,1.3153267179854793,1.2757707172327293,-0.03955600075275001,4.440892098500626e-16,True,True,False,1.3153267179854793,0.0005160862903389179,1.8302322486220393,1.2757707172327293,0.0006761106955774569,1.9475277324996887,120,,16,EVALUATION_BUDGET_EXHAUSTED,129.58557410351932
task-v2-5f165c277bb9,g-e0c69f84d376b633,Nelder-Mead,O3,2207,0.761524173954311,0.8068903319701688,0.04536615801585775,0.0,True,False,True,1.8633078064832078,0.02917655264185411,3.281513907109663,1.7728166196737247,0.026554820859438725,3.2406233066097094,120,120.0,78,EVALUATION_BUDGET_EXHAUSTED,139.15134464763105
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,Nelder-Mead,O3,2207,0.6819304901634543,0.36635050628480603,-0.3155799838786483,0.0,True,True,False,1.4668867130272327,0.04005199368487576,2.5160140826485176,1.3973855873525491,0.07047799753197508,2.7614434997456225,120,120.0,76,EVALUATION_BUDGET_EXHAUSTED,6.085797870531678
task-v2-6e79cb6720c5,g-e0c69f84d376b633,Nelder-Mead,O3,2207,0.8664082487386239,0.804559630490889,-0.06184861824773491,0.0,True,True,False,1.790316539891024,0.019921199217354222,3.541764141451695,1.7972517224957238,0.025385876570071665,3.6470408270113324,120,120.0,78,EVALUATION_BUDGET_EXHAUSTED,127.29758970998228
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,COBYLA,O3,3301,0.023255813953488372,0.023255813953488372,0.0,0.0,True,True,False,1.45269948314606,0.2585319007715882,1.0426028541348686,1.4614403878663391,0.2156146322423918,0.9637669449424403,38,38.0,27,EARLY_CONVERGENCE,0.06096706073731184
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,COBYLA,O3,2207,0.023255813953488372,0.023255813953488372,0.0,0.0,True,True,False,1.3310435258217557,0.260074133424095,1.045185875006406,1.4666956334085908,0.25428263690834085,1.035405421339307,60,60.0,46,EARLY_CONVERGENCE,0.11520097125321627
task-v2-3f363bac5736,g-60667963f6db3f1b,COBYLA,O3,1103,0.9543127500983506,1.025046505332027,0.07073375523367642,0.0,True,False,True,1.9813558324828748,0.017540695556826167,1.2543467674772522,2.1829169308486653,0.012287090762497994,1.0997490229796065,120,120.0,89,EVALUATION_BUDGET_EXHAUSTED,0.3425011644139886
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,COBYLA,O3,3301,1.0741210291895047,0.6993144615126723,-0.3748065676768324,0.0,True,True,False,2.272705692000569,0.0026801347357835272,1.2903940486222834,1.5948047260174483,0.03600607858222933,2.418613246170345,120,120.0,87,EVALUATION_BUDGET_EXHAUSTED,7.120514538139105
task-v2-5acbf653f95a,g-a712031e7959d564,COBYLA,O3,2207,0.6963988055707723,0.7852379158628471,0.08883911029207481,0.0,True,False,True,1.671287286025804,0.03642676153321277,2.173780510624108,1.824788796854893,0.02705090880779953,2.044541808300652,120,120.0,86,EVALUATION_BUDGET_EXHAUSTED,0.5930841518566012
