record_type,scope,objective_id,shots,metric,n_estimates,n_tasks,bias,mae,standard_deviation,rmse,error_p05,error_p50,error_p95,estimate_p05,estimate_p50,estimate_p95,relative_bias,relative_mae,relative_rmse,ordering_agreement_probability,ordering_comparison_count,exact_tie_count
ESTIMATOR_ERROR,S2,O3,1000,p_feas,240,12,0.0006935269989313163,0.0071874614034165155,0.00936692416888103,0.009373082086425703,-0.014803999662484137,0.0008374608594513555,0.01600925110304066,0.03695,0.1045,0.16314999999999996,0.0009475094285069421,0.07595198131386033,0.09871159411804406,,0,0
ESTIMATOR_ERROR,S2,O3,1000,p_opt,240,12,-0.00031516536400133326,0.004992996920406489,0.006061643642076607,0.006057206850934884,-0.010971469264848283,-0.00019245006226197535,0.008645957294265852,0.027,0.048,0.065,-0.006808930275981454,0.10883500681905023,0.13327788478375152,,0,0
ESTIMATOR_ERROR,S2,O3,1000,mean_energy,240,12,-0.0010218759162965432,0.017905468991686997,0.023101868218706637,0.023076325767681274,-0.04050267963055103,-0.001623941301733045,0.03741571819507312,1.246828398479652,1.5630838740222854,1.9433710600546237,-0.0008235502003894516,0.011637681095191239,0.0150904342455534,,0,0
ESTIMATOR_ERROR,S2,O3,1000,cvar_0.10,240,12,0.004774866329013509,0.02695286093108613,0.047847638050278835,0.04798600487126058,-0.07536187206370218,0.00013242597041548954,0.09471507482227987,0.07556976744186049,0.11933139534883724,0.7287282002023504,0.022804279593635995,0.09714549240436518,0.18543823535910195,,0,0
ESTIMATOR_ERROR,S2,O3,10000,p_feas,240,12,-1.9389667735350415e-05,0.0023833150122751193,0.0030362984608726606,0.0030300282756570668,-0.005111697058689447,3.640763245899015e-05,0.004711817536371287,0.036789999999999996,0.10815,0.16133,0.00016373860515489527,0.02557944632904481,0.033734827556614236,,0,0
ESTIMATOR_ERROR,S2,O3,10000,p_opt,240,12,-9.74869733466649e-06,0.0017411224620607999,0.0022077994732338136,0.002203216657670366,-0.003851330765193477,1.765207252977033e-05,0.003478835595253229,0.0287,0.0496,0.0651,0.00011681813007941415,0.03714323278390993,0.04757957188808816,,0,0
ESTIMATOR_ERROR,S2,O3,10000,mean_energy,240,12,0.00017822633821334145,0.006381241959263442,0.007903113891929091,0.007888645454796546,-0.011829032987069953,0.0001575103746905837,0.012392986455500733,1.2458612051517772,1.5567976372538037,1.9467083013381803,6.296556538215748e-05,0.0041127321032403364,0.005092192679540252,,0,0
ESTIMATOR_ERROR,S2,O3,10000,cvar_0.10,240,12,-0.00017977398684172416,0.008518202794030741,0.01576252854784883,0.015730682951867362,-0.02522963348465653,-5.986714861090647e-05,0.028273652860229946,0.07568604651162793,0.11625581395348838,0.7220343128994564,-0.0007582402376234386,0.026145526913225848,0.04663262926643255,,0,0
ESTIMATOR_ERROR,S2,O3,100000,p_feas,240,12,3.4360332264650116e-05,0.0007155112577191865,0.0009163047609569428,0.0009150391543480871,-0.0015569497178292077,1.3687394912063194e-05,0.001644669963437659,0.036,0.108485,0.164572,0.0003108329762332707,0.007933983057718362,0.010904121783059622,,0,0
ESTIMATOR_ERROR,S2,O3,100000,p_opt,240,12,-9.332030667999842e-06,0.0004883103752959583,0.0006335103701113363,0.000632258052576106,-0.0010259888471456375,-1.1726393947152774e-05,0.0009836571705837084,0.028388499999999997,0.04969,0.0656205,-0.0001590614312848275,0.01041948438894086,0.013427430516793579,,0,0
ESTIMATOR_ERROR,S2,O3,100000,mean_energy,240,12,0.0001030416320355082,0.00180954507055259,0.002324615845616795,0.0023220552130605136,-0.003630162666836245,0.0001356921780363285,0.0033958309055228545,1.249967808638153,1.5591872020699875,1.9489728436908231,6.430989489857245e-05,0.0011584976241798331,0.0014743478133247732,,0,0
ESTIMATOR_ERROR,S2,O3,100000,cvar_0.10,240,12,-0.0002605462292938968,0.0028080438936451827,0.005547474891312541,0.005542033473108202,-0.009210490727098342,1.8008866524837908e-05,0.007987150899916322,0.07576941860465118,0.11576802325581395,0.7310098241942062,-0.0009413254081971447,0.008175682785354566,0.01527405672703382,,0,0
ESTIMATOR_ERROR,S3,O0,1000,p_feas,420,21,-0.00011988492377351434,0.005585985336866984,0.007581442089092804,0.007573360121857039,-0.012803139910555957,-0.0003741541617234001,0.01272133616338274,0.012,0.05,0.11604999999999996,0.0008465579640963156,0.12109329497978612,0.17250737905659017,,0,0
ESTIMATOR_ERROR,S3,O0,1000,p_opt,420,21,-9.377971098717175e-05,0.003159312757831362,0.004141749088328295,0.004137878331237086,-0.0065138657632398764,-0.0003741541617234001,0.006665686642954371,0.005,0.014,0.039,-0.011973561172074413,0.20051631740446546,0.262647008791253,,0,0
ESTIMATOR_ERROR,S3,O0,1000,mean_energy,420,21,0.0008784565809333194,0.014468589616567929,0.018216852708426025,0.018216346523222487,-0.028926805283689294,0.00042449172370451205,0.02872026098304195,1.1356931960721783,1.3180359361566834,1.6156660534723501,0.0005776663775375254,0.010981985880882667,0.013774869604706986,,0,0
ESTIMATOR_ERROR,S3,O0,1000,cvar_0.10,420,21,0.006240132960964655,0.041221551700075375,0.05801947150147761,0.05828536205708762,-0.08708422588098937,0.0008753192357405133,0.11302813814443906,0.057999999999999996,0.5731976744186047,0.9464331395348836,0.06026476821694395,0.14879447012183103,0.38225081174199477,,0,0
ESTIMATOR_ERROR,S3,O0,10000,p_feas,420,21,2.5829361940770872e-05,0.0017521004369541288,0.0022627183977008596,0.0022601706745552664,-0.0038788035960406137,0.00022626894603605674,0.0035939607494050113,0.013985000000000001,0.050699999999999995,0.11170499999999998,0.0010233171041662318,0.040463318885583494,0.053940761797007256,,0,0
ESTIMATOR_ERROR,S3,O0,10000,p_opt,420,21,5.6934574727114e-05,0.0011061998251529494,0.0014095245724703822,0.0014089963400898884,-0.0021411135771078147,8.358613838780303e-05,0.0023418733728451423,0.00659,0.0146,0.03621499999999999,0.004337480996723906,0.07212676614065731,0.09203831894992144,,0,0
