task_id,base_instance_id,size_stratum,dilution_score,objective_final_B1,objective_final_B2,objective_final_B4,G_feas_final_B1,G_feas_final_B2,G_feas_final_B4,p_feas_final_B1,p_feas_final_B2,p_feas_final_B4,p_opt_final_B1,p_opt_final_B2,p_opt_final_B4,runtime_s_B1,runtime_s_B2,runtime_s_B4,optimizer_nfev_B1,optimizer_nfev_B2,optimizer_nfev_B4,objective_gain_B1_to_B2,objective_gain_B2_to_B4,G_change_B1_to_B2,G_change_B2_to_B4
task-v2-4746dcc3bd93,v2-S5-b000-g-a87f1b9ac089cc45,S5,5.719569917615643,1.2776703661110784,1.2460692555575288,1.224726052045468,3.0311866359184845,3.00175393269064,2.894170387311321,0.0020493527473411,0.0019150671869625,0.0014948598232751,0.0020493527473411,0.0019150671869625,0.0014948598232751,125.30847038980572,246.7050232551992,510.0143380491063,120.0,240.0,480.0,0.03160111055354964,0.02134320351206087,-0.029432703227844303,-0.10758354537931902
task-v2-4968f3a685c2,v2-S3-b000-g-8a16a856f5377a40,S3,3.9133899436317554,1.35518580831047,1.3355793197767845,1.3233003735019344,1.1425745544973889,1.146903393000338,1.1920424087286867,0.0016950581864339,0.001712038194821,0.0018995575910778,0.0016950581864339,0.001712038194821,0.0018995575910778,0.6990048885345459,1.935254910029471,3.916410827077925,120.0,240.0,480.0,0.019606488533685518,0.012278946274850044,0.004328838502949184,0.045139015728348664
task-v2-4d2b9f5eb099,v2-S2-b001-g-6aa6775bed3bc2cc,S2,3.010299956639812,1.518138438970197,1.4561097503402116,1.4386943046044207,0.9501792083246856,1.3140965700946317,1.4236852433386202,0.0087072146676146,0.0201278141372789,0.0259051008106186,0.0087072146676146,0.0201278141372789,0.0259051008106186,0.3517142422497272,0.864787369966507,1.6978935431689024,120.0,240.0,480.0,0.06202868862998545,0.017415445735790902,0.36391736176994605,0.10958867324398858
task-v2-4e78b3f98433,v2-S1-b001-g-553bb3c5ba0f2136,S1,2.1072099696478683,1.240018148374048,1.1859892931420446,1.1855243787175922,1.2486646727491948,1.2823909483578546,1.2836759895642722,0.1385015721301386,0.1496859295673072,0.1501294936789284,0.1385015721301386,0.1496859295673072,0.1501294936789284,0.2666617929935455,0.6663558417931199,1.112804178148508,120.0,240.0,396.0,0.0540288552320034,0.0004649144244524006,0.03372627560865982,0.001285041206417592
task-v2-526a936f38d9,v2-S5-b001-g-e0c69f84d376b633,S5,5.11750992628768,1.3860756364316091,1.330573884077356,1.3078320523827598,2.889378390144994,3.0515929954149645,3.096798894451138,0.0059138249316307,0.0085917784394414,0.0095343034057297,0.0013836497394781,0.0019401910745547,0.0020646200355633,127.16541846841574,250.3626592978835,514.5705465478823,120.0,240.0,480.0,0.05550175235425314,0.022741831694596204,0.16221460526997067,0.04520589903617367
task-v2-59a464f36e13,v2-S4-b001-g-bd62d2d752385cc7,S4,4.816479930623699,1.51181256356806,1.413658256102187,1.3951436068701004,2.2081271053484057,2.382937590004643,2.3225641498431964,0.0024640367152609,0.003685171123071,0.0032068911506977,0.0024640367152609,0.003685171123071,0.0032068911506977,6.034765142947435,13.079064473509789,26.549073540605605,120.0,240.0,480.0,0.09815430746587284,0.018514649232086677,0.17481048465623727,-0.060373440161446634
task-v2-5acbf653f95a,v2-S3-b001-g-a712031e7959d564,S3,3.612359947967774,1.5212758110814677,1.4393707285695,1.4230071949633851,1.7035788825511513,2.018650650318288,2.012669507073117,0.0123372661721066,0.0254853558713653,0.0251367750769846,0.0081940618448052,0.0161071282431723,0.015700349502135,0.7141276709735394,1.683102442882955,3.4097712840884924,120.0,240.0,480.0,0.0819050825119676,0.016363533606114977,0.31507176776713686,-0.005981143245171072
task-v2-5b0627539151,v2-S3-b001-g-a712031e7959d564,S3,3.2144199392957367,1.2863288492755005,1.279511971028392,1.2613652536111797,2.093071952602592,2.1089892348446546,2.132624589573,0.0756226711195635,0.078445727603518,0.0828332402429422,0.0148318833900557,0.0171952782845131,0.0181289170148979,0.7194664292037487,1.6511311326175928,3.342856479808688,120.0,240.0,480.0,0.0068168782471085265,0.0181467174172123,0.01591728224206257,0.023635354728345437
task-v2-5b5a3995de2b,v2-S4-b001-g-bd62d2d752385cc7,S4,4.11750992628768,1.3952958462295526,1.344318460157743,1.315641740253629,2.34271127221928,2.4289730671427114,2.499920782009476,0.0167958251921121,0.0204862817280642,0.0241218635088738,0.0054407215128249,0.0065897541356626,0.0076981680616326,6.538932202383876,12.689262937754393,25.7392054758966,120.0,240.0,480.0,0.05097738607180968,0.028676719904114023,0.08626179492343145,0.07094771486676477
task-v2-5d31ef4af595,v2-S4-b001-g-bd62d2d752385cc7,S4,4.214419939295737,1.3393885841037412,1.3304213340466755,1.3229650304136311,2.427160345771249,2.429573398496967,2.444098909961186,0.0163207610533896,0.0164116958273562,0.0169698877909363,0.0052489678182208,0.0052701102712904,0.0052849145253961,6.333889204077423,12.691164246760309,25.431587575003505,120.0,240.0,480.0,0.008967250057065668,0.007456303633044392,0.0024130527257177903,0.014525511464218877
