graph_id,size_stratum,objective,depth,budget,n_tasks,objective_value,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas
g-8a16a856f5377a40,S3,O0,4,480,2,1.325031238260172,1.325031238260172,0.04246189639347894,0.017531441680822234,0.7179377544638599,1.9132045522114547
g-8a16a856f5377a40,S3,O3,2,120,2,0.9694599879261612,1.9584898167364078,0.013423605667601273,0.00407463961111202,0.6320600682952042,1.5268771714877762
g-8a16a856f5377a40,S3,O3,2,240,2,0.9476893248093883,1.9363458277943075,0.015487011186404168,0.005285922660268408,0.637701819916198,1.6078976066091315
g-8a16a856f5377a40,S3,O3,2,480,2,0.9196930953325315,1.86730808679368,0.018271742455975955,0.007850028923146455,0.6255478468729087,1.723922622418733
g-8a16a856f5377a40,S3,O3,3,120,2,0.6400893899125053,1.7465925084463887,0.042988680364654315,0.02290083632643848,0.7353066618649925,1.9328031745088206
g-8a16a856f5377a40,S3,O3,3,240,2,0.6305689357903114,1.729961940401429,0.04392523305344125,0.02366127852998657,0.7379949938045394,1.94582078558548
g-8a16a856f5377a40,S3,O3,3,480,2,0.6267059098159037,1.7195202738335615,0.044302175883495214,0.023762539430120275,0.7369386024564504,1.948221903573387
g-8a16a856f5377a40,S3,O3,4,120,2,0.47172853621260225,1.5978637750508025,0.06232369362513085,0.029291460606480038,0.6727160696906447,2.1528441343322866
g-8a16a856f5377a40,S3,O3,4,240,2,0.4620515817492691,1.6016343888541633,0.06620120121790311,0.03138017349848601,0.671879125252183,2.183225831170953
g-8a16a856f5377a40,S3,O3,4,480,2,0.4582245301559321,1.5853767890144919,0.07030168368956564,0.032808029323384336,0.7233789611181749,2.2042393495092694
g-a712031e7959d564,S3,O0,2,120,2,1.70789584240607,1.70789584240607,0.010866751371867425,0.004103920929859865,0.5508928139154886,1.4919595256852283
g-a712031e7959d564,S3,O0,2,240,2,1.6582301278370282,1.6582301278370282,0.01188905967274738,0.004996826016063169,0.5504065021092179,1.5471765911279678
g-a712031e7959d564,S3,O0,2,480,2,1.6294213076080308,1.6294213076080308,0.013280960992298706,0.006435614789053355,0.5499718850463649,1.6094402862110102
g-a712031e7959d564,S3,O0,3,120,2,1.3367882979619616,1.3367882979619616,0.02099033546857575,0.006521436466529551,0.8404048017714658,0.9495490850121993
g-a712031e7959d564,S3,O0,3,240,2,1.3275251383862279,1.3275251383862279,0.020217318651861185,0.005387513573591384,0.8402401375261779,0.9291457299922479
g-a712031e7959d564,S3,O0,3,480,2,1.3021071426272504,1.3021071426272504,0.01827176296471971,0.006373983185267519,0.8426427011843254,1.1423214233279921
g-a712031e7959d564,S3,O0,4,120,2,1.4009969509316238,1.4009969509316238,0.03486970532003376,0.015564069789883072,0.6791477556210352,1.9230960514844748
g-a712031e7959d564,S3,O0,4,240,2,1.3819199641735738,1.3819199641735738,0.03684239201433188,0.016188846915116323,0.6558254864522517,1.9601957214097432
g-a712031e7959d564,S3,O0,4,480,2,1.3127941234969873,1.3127941234969873,0.04926417022742575,0.014956365123502811,0.6108652920848783,2.0271196156906233
g-a712031e7959d564,S3,O3,2,120,2,0.8340377842785445,1.8970982272515342,0.02461599127284491,0.011768841491132352,0.6454271453125314,1.877756149713607
g-a712031e7959d564,S3,O3,2,240,2,0.8087527078463588,1.9112939371525988,0.027156875703603242,0.01325890016669484,0.6645106883327287,1.9209135685898011
g-a712031e7959d564,S3,O3,2,480,2,0.7971641118018378,1.9422313422671824,0.028498021553474508,0.014486572097987618,0.628193795014479,1.9438663868027453
g-a712031e7959d564,S3,O3,3,120,2,0.6010182707281767,1.8126120742182952,0.045840592978840106,0.02789567227717278,0.7275678623508568,2.1060921945163456
g-a712031e7959d564,S3,O3,3,240,2,0.5213116348125774,1.8179426290536642,0.05361951063536498,0.02974820513173933,0.7160588241871629,2.1559984427124252
g-a712031e7959d564,S3,O3,3,480,2,0.4565755499898482,1.806265661151663,0.060000494726042665,0.029919701408317574,0.7050275341950031,2.189249200515799
g-a712031e7959d564,S3,O3,4,120,2,0.42355413435287054,1.7484701850597901,0.06326256649934515,0.024087122284796557,0.6087395150539989,2.201907688888437
g-a712031e7959d564,S3,O3,4,240,2,0.41818480225310256,1.7045879243023363,0.07237111234465331,0.02892712546732229,0.6317200245067333,2.2406030217769835
g-a712031e7959d564,S3,O3,4,480,2,0.3629639867788318,1.6715156263414928,0.08000089674907736,0.03751891288260527,0.6531521464191914,2.3220146268859843
g-a87f1b9ac089cc45,S5,O0,2,120,3,1.655484557403705,1.655484557403705,0.0022840124123959353,0.001340783742132207,0.5632054337476063,2.496208025868206
g-a87f1b9ac089cc45,S5,O0,2,240,3,1.5598097202815397,1.5598097202815397,0.001591033102772816,0.0009225270995769537,0.5682982732842766,2.370226093723328
g-a87f1b9ac089cc45,S5,O0,2,480,3,1.5011405304469687,1.5011405304469687,0.0008528406807782056,0.0003983207897709547,0.5601630779496772,2.099066603267826
g-a87f1b9ac089cc45,S5,O0,3,120,3,1.4333112471452736,1.4333112471452736,0.0029476042626968087,0.0012136244997084488,0.6050269254589239,2.4742317691131124
g-a87f1b9ac089cc45,S5,O0,3,240,3,1.3447182778880478,1.3447182778880478,0.002448986319068196,0.0009337588477697428,0.6155206204385754,2.2916852183949334
g-a87f1b9ac089cc45,S5,O0,3,480,3,1.281533282663332,1.281533282663332,0.0023143219599876786,0.0008566903121618436,0.5682630802456625,2.0871323041353382
g-a87f1b9ac089cc45,S5,O0,4,120,3,1.4513507158821817,1.4513507158821817,0.005916356185978828,0.002996242500888233,0.5895508116647906,2.891729762889186
g-a87f1b9ac089cc45,S5,O0,4,240,3,1.4305556839274545,1.4305556839274545,0.005652736660548849,0.0030212259948103615,0.6017028717548046,2.9056922089429853
g-a87f1b9ac089cc45,S5,O0,4,480,3,1.4106594111202577,1.4106594111202577,0.008070245356467038,0.004001027019176955,0.6118707954629461,3.0524826342914118
g-a87f1b9ac089cc45,S5,O3,2,120,3,1.0363513188623181,1.8839318285643785,0.003108997234085342,0.0018564414719925324,0.5188553550399638,2.5460373620218943
g-a87f1b9ac089cc45,S5,O3,2,240,3,1.0154261099462014,1.8916145550208274,0.00487533634797517,0.003069888786200398,0.5248158855207917,2.658734183764231
g-a87f1b9ac089cc45,S5,O3,2,480,3,0.9936032026277601,1.8980898071432755,0.0069306716277143104,0.00428760328488732,0.5333945372732104,2.745995148875444
g-a87f1b9ac089cc45,S5,O3,3,120,3,0.9542334549251285,1.621833462198038,0.009785944563202443,0.005343228134618471,0.6055171751329393,3.1585834490397624
g-a87f1b9ac089cc45,S5,O3,3,240,3,0.929148374593875,1.6214126279893357,0.011998070615261772,0.005899176187372475,0.6083847673565106,3.238531549982753
g-a87f1b9ac089cc45,S5,O3,3,480,3,0.9119300487821631,1.6142619772888624,0.013471488991189218,0.00663015613895382,0.6112150116984352,3.2836316667446805
g-a87f1b9ac089cc45,S5,O3,4,120,3,0.9301746891980556,1.7313130301564972,0.01197719193259599,0.006379982372818615,0.5922841946494053,3.239668748782797
g-a87f1b9ac089cc45,S5,O3,4,240,3,0.8994940061631235,1.648754714416419,0.014751727727791855,0.008060597572026824,0.5966418984671003,3.33404453599877
g-a87f1b9ac089cc45,S5,O3,4,480,3,0.8834085192212333,1.5832414664318393,0.016375059259637757,0.008411213831845938,0.5839793237813747,3.373439582955946
g-bd62d2d752385cc7,S4,O0,2,120,3,1.6653216187517834,1.6653216187517834,0.00588083368320935,0.0022062219698684776,0.5322835147057886,1.9728912115520796
g-bd62d2d752385cc7,S4,O0,2,240,3,1.5464480572633816,1.5464480572633816,0.007131640043504192,0.0027618184293003293,0.5304410958583237,2.050722482579101
g-bd62d2d752385cc7,S4,O0,2,480,3,1.464387757692726,1.464387757692726,0.007818388520273056,0.002958374858781686,0.5276217113487465,2.075438135697464
g-bd62d2d752385cc7,S4,O0,3,120,3,1.4423599270692078,1.4423599270692078,0.0033911909043286372,0.002348320450565863,0.7766798307934826,1.7908863409988456
g-bd62d2d752385cc7,S4,O0,3,240,3,1.4150192520188725,1.4150192520188725,0.003600368578653238,0.00246192610146156,0.7130933282465253,1.825637969021818
g-bd62d2d752385cc7,S4,O0,3,480,3,1.3986048553348367,1.3986048553348367,0.003903779193016778,0.0020640974733880982,0.6655010182567239,1.681869622494852
g-bd62d2d752385cc7,S4,O0,4,120,3,1.4232374459727524,1.4232374459727524,0.010924696001168285,0.003946656071950627,0.5044840966091355,2.2991611800702487
g-bd62d2d752385cc7,S4,O0,4,240,3,1.4018972903063116,1.4018972903063116,0.011525297748724544,0.00439463324101298,0.5166748440303248,2.324051992153958
g-bd62d2d752385cc7,S4,O0,4,480,3,1.3838112846961483,1.3838112846961483,0.012097798374010205,0.00456718647694255,0.5306343868190121,2.321935798470713
g-bd62d2d752385cc7,S4,O3,2,120,3,1.0044716468011046,1.8766564122801963,0.008037345788821069,0.002899676730603295,0.505897869657367,2.1376693657116443
g-bd62d2d752385cc7,S4,O3,2,240,3,0.9924718767010763,1.8146795346102902,0.008795419039199864,0.0033176516390782417,0.5145961482218744,2.1940102078270716
g-bd62d2d752385cc7,S4,O3,2,480,3,0.9803039471182456,1.7585042848860357,0.009802659895533309,0.004075167690987879,0.5315150072799898,2.265916014876534
g-bd62d2d752385cc7,S4,O3,3,120,3,0.9436233001130324,1.6729215977275775,0.012190989124367344,0.004667859456205618,0.5416392910874238,2.334743408305227
g-bd62d2d752385cc7,S4,O3,3,240,3,0.9350658992911645,1.6599178299235808,0.013572404054587928,0.004724957134364349,0.5406776444277211,2.367024618256494
g-bd62d2d752385cc7,S4,O3,3,480,3,0.9127411048716265,1.6591123041497626,0.016778913975093457,0.005287597944983981,0.5332073250688926,2.43590624285422
g-bd62d2d752385cc7,S4,O3,4,120,3,0.84946266068847,1.6555273361776948,0.023621513614864392,0.009181479758363318,0.5547613024563449,2.6159170147076085
g-bd62d2d752385cc7,S4,O3,4,240,3,0.8296776209155591,1.6259366298771785,0.025678626777735136,0.010228219660026993,0.5596371617775678,2.659867544690614
g-bd62d2d752385cc7,S4,O3,4,480,3,0.7932910725756342,1.5991228508611677,0.02871082335396738,0.011330830073435954,0.565750520463694,2.71569374614584
g-e0c69f84d376b633,S5,O0,2,120,2,1.7284469833255605,1.7284469833255605,0.005454604397410921,0.0012878385110746127,0.572927095529817,2.7043085667185514
g-e0c69f84d376b633,S5,O0,2,240,2,1.5510542769435012,1.5510542769435012,0.008247628597663072,0.001631247318313518,0.5726156821293596,2.777931943710074
g-e0c69f84d376b633,S5,O0,2,480,2,1.4447005601712206,1.4447005601712206,0.011592188992487583,0.0021854726811012266,0.5772186733182552,2.8338984763237516
g-e0c69f84d376b633,S5,O0,3,120,2,1.4274007651127842,1.4274007651127842,0.0012877293192027615,0.0005217556713926841,0.6233403418864808,2.1889438950575886
g-e0c69f84d376b633,S5,O0,3,240,2,1.3826001010303206,1.3826001010303206,0.0011768360898182122,0.0005472751880632586,0.6463238020052131,2.059090719301757
g-e0c69f84d376b633,S5,O0,3,480,2,1.3450296781360556,1.3450296781360556,0.0012916512904872272,0.000617463431270195,0.6900303311279523,2.034144375035564
g-e0c69f84d376b633,S5,O0,4,120,2,1.4497563894099286,1.4497563894099286,0.014740079174247508,0.0033778326377603795,0.582674156421316,3.067137326105441
g-e0c69f84d376b633,S5,O0,4,240,2,1.415485107787637,1.415485107787637,0.013588629737853256,0.003306634841165023,0.5824193211711679,3.079299463669136
g-e0c69f84d376b633,S5,O0,4,480,2,1.3868666058884838,1.3868666058884838,0.014076816189635242,0.0031291768795397995,0.5808676376783688,3.0662745136040823
