task_id,graph_id,objective,seed,transition,shallower_depth,deeper_depth,budget,deeper_terminal_objective,embedded_shallower_objective,signed_nested_regret,embedding_identity_error,embedding_identity_pass,nested_pass,nested_failure,actual_nfev,nit,termination_reason,wall_time_s
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,O3,1103,p2->p3,2,3,480,0.8170188334427071,0.8167971105409312,0.00022172290177591147,0.0,True,False,True,480,400,EVALUATION_BUDGET_EXHAUSTED,1.267162287607789
task-v2-e243a3cd3e64,g-bd62d2d752385cc7,O0,2207,p3->p4,3,4,120,1.3581478220369612,1.2146434975756453,0.1435043244613159,-8.881784197001252e-16,True,False,True,480,387,EVALUATION_BUDGET_EXHAUSTED,28.785313374362886
task-v2-e243a3cd3e64,g-bd62d2d752385cc7,O0,2207,p3->p4,3,4,240,1.2945236668786118,1.1928137130218355,0.10170995385677628,2.220446049250313e-16,True,False,True,480,387,EVALUATION_BUDGET_EXHAUSTED,28.785313374362886
task-v2-e243a3cd3e64,g-bd62d2d752385cc7,O0,2207,p3->p4,3,4,480,1.2236127867397255,1.1852488053861234,0.038363981353602084,6.661338147750939e-16,True,False,True,480,387,EVALUATION_BUDGET_EXHAUSTED,28.785313374362886
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,O3,2207,p2->p3,2,3,120,0.8541546677009894,0.8826089315631142,-0.028454263862124796,0.0,True,True,False,480,394,EVALUATION_BUDGET_EXHAUSTED,23.29316809773445
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,O3,2207,p2->p3,2,3,240,0.8540223004233758,0.8812959032189929,-0.02727360279561708,0.0,True,True,False,480,394,EVALUATION_BUDGET_EXHAUSTED,23.29316809773445
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,O3,2207,p2->p3,2,3,480,0.8538441638091123,0.8805278382613819,-0.0266836744522696,0.0,True,True,False,480,394,EVALUATION_BUDGET_EXHAUSTED,23.29316809773445
task-v2-e243a3cd3e64,g-bd62d2d752385cc7,O0,2207,p2->p3,2,3,120,1.2146434975756462,1.5625791316690603,-0.3479356340934141,0.0,True,True,False,480,393,EVALUATION_BUDGET_EXHAUSTED,20.20741538144648
task-v2-e243a3cd3e64,g-bd62d2d752385cc7,O0,2207,p2->p3,2,3,240,1.1928137130218353,1.3325862553747303,-0.13977254235289505,1.3322676295501878e-15,True,True,False,480,393,EVALUATION_BUDGET_EXHAUSTED,20.20741538144648
task-v2-e243a3cd3e64,g-bd62d2d752385cc7,O0,2207,p2->p3,2,3,480,1.1852488053861228,1.305720328310838,-0.1204715229247153,1.3322676295501878e-15,True,True,False,480,393,EVALUATION_BUDGET_EXHAUSTED,20.20741538144648
task-v2-8c0a098a6f8b,g-a712031e7959d564,O0,2207,p2->p3,2,3,120,1.288536032813746,1.285037471286362,0.0034985615273841475,0.0,True,False,True,480,394,EVALUATION_BUDGET_EXHAUSTED,2.6892075585201383
